NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BOTHWELL 2.6 WSW, UT US",,,,,,,,,,,,,,,,,,,,4.6000000000000005,7.88,8.82,12.02,13.780000000000001,19.78,17.14,6.209999999999999,9.68,,,
"BOULDER 1.3 NNW, UT US",,,,,,,,,,,,,,,,,,4.46,20.42,12.19,9.01,14.959999999999999,8.19,16.08,10.92,10.799999999999999,8.12,14.12,4.85,10.43,4.09
"BOULDER, UT US",14.18,14.33,8.71,31.0,8.17,14.92,13.049999999999999,12.06,8.99,11.26,6.52,9.42,14.74,16.73,49.9,9.26,9.030000000000001,9.66,19.86,12.15,9.77,17.31,9.51,18.45,15.3,10.84,8.71,14.32,5.54,11.25,9.790000000000001
"BOUNTIFUL 0.6 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,12.23
"BOUNTIFUL 0.8 SE, UT US",,,,,,,,,,,,,,,,,1.5,,,8.09,17.05,,,,3.3000000000000003,,,4.66,13.66,19.27,18.66
"BOUNTIFUL 1.3 S, UT US",,,,,,,,,,,,,,,,,,2.41,26.86,27.45,21.61,16.18,20.61,20.240000000000002,11.379999999999999,,,,,,
"BOUNTIFUL 1.7 NE, UT US",,,,,,,,,,,,,,,,,5.8500000000000005,13.42,7.82,19.48,,,,,,,,,,,
"BOUNTIFUL 2.0 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,20.63,18.99
"BOUNTIFUL BENCH, UT US",21.5,32.08,29.69,91.0,31.84,29.16,38.33,25.42,24.83,26.27,18.42,23.94,27.349999999999998,32.19,138.1,22.49,23.08,29.3,33.09,34.9,23.21,22.82,23.53,29.89,29.54,26.62,24.990000000000002,32.34,15.07,25.28,22.83
"BOUNTIFUL VAL VERDA, UT US",16.98,26.14,24.8,41.3,21.880000000000003,24.46,28.64,20.3,23.06,23.11,16.14,20.37,25.31,27.169999999999998,70.9,20.61,16.36,26.0,28.06,28.17,17.55,18.82,9.76,,,,,,,,
"BOX CREEK, UT US",25.07,26.91,24.24,0.0,29.11,30.02,31.02,25.36,23.57,22.96,19.16,25.36,27.87,27.71,0.0,21.82,27.25,23.18,32.49,26.35,25.88,23.47,18.16,22.28,20.04,18.98,16.28,24.07,12.15,21.67,15.059999999999999
